INFO 2025-07-15 14:44:37,530 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 14:44:37,593 basehttp "GET /api/v1/lamaran/? HTTP/1.1" 200 5798
INFO 2025-07-15 14:44:37,593 basehttp "GET /api/v1/lamaran/? HTTP/1.1" 200 5798
INFO 2025-07-15 14:44:38,435 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 14:44:38,454 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 14:44:38,514 basehttp "GET /api/v1/lamaran/? HTTP/1.1" 200 5798
INFO 2025-07-15 14:44:38,524 basehttp "GET /api/v1/lamaran/? HTTP/1.1" 200 5798
INFO 2025-07-15 14:44:39,482 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 14:44:39,494 basehttp "GET /api/v1/pengaturan-cetak/ HTTP/1.1" 200 128
INFO 2025-07-15 14:44:39,499 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 14:44:39,503 basehttp "GET /api/v1/pengaturan-cetak/ HTTP/1.1" 200 128
INFO 2025-07-15 14:44:39,981 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 14:44:39,998 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 14:44:40,103 basehttp "GET /api/v1/lamaran/? HTTP/1.1" 200 5798
INFO 2025-07-15 14:44:40,112 basehttp "GET /api/v1/lamaran/? HTTP/1.1" 200 5798
INFO 2025-07-15 14:44:40,483 basehttp "GET /api/v1/lamaran/? HTTP/1.1" 200 5798
INFO 2025-07-15 14:44:40,531 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 14:44:40,555 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 14:44:40,595 basehttp "GET /api/v1/lamaran/? HTTP/1.1" 200 5798
INFO 2025-07-15 14:44:42,042 basehttp "GET /api/v1/dashboard-stats/ HTTP/1.1" 200 358
INFO 2025-07-15 14:44:42,044 basehttp "GET /api/v1/dashboard-stats/ HTTP/1.1" 200 358
INFO 2025-07-15 14:44:46,089 basehttp "POST /api/auth/logout/ HTTP/1.1" 200 37
INFO 2025-07-15 14:44:46,197 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 14:44:46,208 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 14:44:46,217 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 14:44:46,234 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
WARNING 2025-07-15 14:57:13,116 log Unauthorized: /api/me/
WARNING 2025-07-15 14:57:13,119 basehttp "GET /api/me/ HTTP/1.1" 401 58
WARNING 2025-07-15 14:57:13,128 log Unauthorized: /api/me/
WARNING 2025-07-15 14:57:13,131 basehttp "GET /api/me/ HTTP/1.1" 401 58
INFO 2025-07-15 14:57:13,161 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 14:57:13,188 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 14:57:13,206 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 14:57:13,223 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
WARNING 2025-07-15 15:02:12,463 log Unauthorized: /api/me/
WARNING 2025-07-15 15:02:12,492 basehttp "GET /api/me/ HTTP/1.1" 401 58
WARNING 2025-07-15 15:02:12,503 log Unauthorized: /api/me/
WARNING 2025-07-15 15:02:12,508 basehttp "GET /api/me/ HTTP/1.1" 401 58
INFO 2025-07-15 15:02:12,552 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:02:12,565 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:02:12,585 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:02:12,588 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
WARNING 2025-07-15 15:02:53,584 log Unauthorized: /api/me/
WARNING 2025-07-15 15:02:53,588 log Unauthorized: /api/me/
WARNING 2025-07-15 15:02:53,589 basehttp "GET /api/me/ HTTP/1.1" 401 58
WARNING 2025-07-15 15:02:53,597 basehttp "GET /api/me/ HTTP/1.1" 401 58
INFO 2025-07-15 15:02:53,694 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:02:53,695 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:02:53,711 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:02:53,744 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
WARNING 2025-07-15 15:03:19,388 log Unauthorized: /api/me/
WARNING 2025-07-15 15:03:19,389 basehttp "GET /api/me/ HTTP/1.1" 401 58
WARNING 2025-07-15 15:03:19,399 log Unauthorized: /api/me/
